word	frequency	rank
сирени	5	962
дымится	5	963
музыкой	5	964
прием	5	965
цветы	5	966
крылья	5	967
боле	5	968
ряд	5	969
чернил	5	970
кухне	5	971
звонок	5	972
Очаков	5	973
грозой	5	974
Париж	5	975
подъем	5	976
верит	5	977
лучше	5	978
топот	5	979
большой	5	980
страшной	5	981
ураган	5	982
стола	5	983
стена	5	984
Зарей	5	985
комнату	5	986
грязи	5	987
хлопьев	5	988
даст	5	989
пот	5	990
кусты	5	991
летит	5	992
стану	5	993
Глядят	5	994
правда	5	995
первой	5	996
крики	5	997
Дом	5	998
упал	5	999
бежит	5	1000
Горят	5	1001
берез	5	1002
бурей	5	1003
мгла	5	1004
тих	5	1005
Землей	5	1006
сутки	5	1007
ограды	5	1008
свист	5	1009
боже	5	1010
Люди	5	1011
боги	5	1012
Похоже	5	1013
песня	5	1014
пойдет	5	1015
ладони	5	1016
Часть	5	1017
Несется	5	1018
кровли	5	1019
Топот	5	1020
Свет	5	1021
молча	5	1022
сплю	5	1023
двоих	5	1024
ждать	5	1025
Выходят	5	1026
зарниц	5	1027
вопрос	5	1028
бой	5	1029
отдаленьи	5	1030
Вода	5	1031
играть	5	1032
песке	5	1033
теней	5	1034
ключом	5	1035
попал	5	1036
Простор	5	1037
мечтах	5	1038
шерсть	5	1039
Встает	5	1040
заставы	5	1041
ночам	5	1042
сказка	5	1043
слепой	5	1044
март	5	1045
лат	5	1046
холст	5	1047
Уходят	5	1048
взглядом	5	1049
лучей	5	1050
белом	5	1051
ночное	5	1052
Закат	5	1053
торжество	5	1054
жажда	5	1055
лавок	5	1056
Сто	4	1057
формы	4	1058
семьи	4	1059
верят	4	1060
Век	4	1061
сдан	4	1062
толпою	4	1063
тихий	4	1064
отца	4	1065
стынет	4	1066
берега	4	1067
жгут	4	1068
мостовые	4	1069
брата	4	1070
широко	4	1071
весть	4	1072
Попытка	4	1073
Гремит	4	1074
ребенка	4	1075
Светает	4	1076
восток	4	1077
Удар	4	1078
молний	4	1079
шагов	4	1080
столбом	4	1081
